TITLE;DESCRIPTION;VERSION;CREATION;UPDATE
"AWS Directory Service";"<fullname>AWS Directory Service</fullname> <p>AWS ";"Mike Ralphson";02-05-2017 07:59:53;09-02-2018 12:41:49
"Amazon DynamoDB";"<fullname>Amazon DynamoDB</fullname> <p>Amazon Dyn";"Mike Ralphson";02-05-2017 07:59:53;09-02-2018 12:41:49
"Amazon Elastic Compute Cloud";"<fullname>Amazon Elastic Compute Cloud</fullname> ";"Mike Ralphson";02-05-2017 07:59:53;22-02-2018 11:12:03
"Amazon EC2 Container Registry";"Amazon Elastic Container Registry (Amazon ECR) is ";"Mike Ralphson";02-05-2017 07:59:53;28-02-2018 07:37:28
"Amazon EC2 Container Service";"<p>Amazon Elastic Container Service (Amazon ECS) i";"Mike Ralphson";02-05-2017 07:59:53;23-12-2017 12:01:32
"Amazon ElastiCache";"<fullname>Amazon ElastiCache</fullname> <p>Amazon ";"Mike Ralphson";02-05-2017 07:59:53;28-11-2017 16:03:46
"AWS Elastic Beanstalk";"<fullname>AWS Elastic Beanstalk</fullname> <p>AWS ";"Mike Ralphson";02-05-2017 07:59:53;11-12-2017 08:35:19
"Amazon Elastic File System";"<fullname>Amazon Elastic File System</fullname> <p";"Mike Ralphson";02-05-2017 07:59:53;06-12-2017 17:43:33
"Elastic Load Balancing";"<fullname>Elastic Load Balancing</fullname> <p>A l";"Mike Ralphson";02-05-2017 07:59:53;15-01-2018 17:17:08
"Elastic Load Balancing";"<fullname>Elastic Load Balancing</fullname> <p>A l";"Mike Ralphson";02-05-2017 07:59:53;23-02-2018 14:29:25
"Amazon Elastic MapReduce";"Amazon EMR is a web service that makes it easy to ";"Mike Ralphson";02-05-2017 07:59:53;28-11-2017 16:03:46
"Amazon Elastic Transcoder";"<fullname>AWS Elastic Transcoder Service</fullname";"Mike Ralphson";02-05-2017 07:59:53;06-12-2017 17:43:33
"Amazon Simple Email Service";"<fullname>Amazon Simple Email Service</fullname> <";"Mike Ralphson";02-05-2017 07:59:53;17-12-2017 17:42:23
"AWS Marketplace Entitlement Service";"<fullname>AWS Marketplace Entitlement Service</ful";"Mike Ralphson";14-05-2017 12:00:27;28-11-2017 16:03:46
"Amazon Elasticsearch Service";"<fullname>Amazon Elasticsearch Configuration Servi";"Mike Ralphson";02-05-2017 07:59:53;11-12-2017 08:35:19
"Amazon CloudWatch Events";"<p>Amazon CloudWatch Events helps you to respond t";"Mike Ralphson";02-05-2017 07:59:53;28-11-2017 16:03:46
"Amazon Kinesis Firehose";"<fullname>Amazon Kinesis Firehose API Reference</f";"Mike Ralphson";02-05-2017 07:59:53;28-11-2017 16:03:46
"Amazon GameLift";"<fullname>Amazon GameLift Service</fullname> <p> A";"Mike Ralphson";02-05-2017 07:59:53;15-02-2018 21:53:56
"Amazon Glacier";"<p>Amazon Glacier is a storage solution for "cold ";"Mike Ralphson";02-05-2017 07:59:53;14-02-2018 14:16:26
"AWS Glue";"<fullname>AWS Glue</fullname> <p>Defines the publi";"Mike Ralphson";20-08-2017 11:00:29;07-02-2018 07:19:24
"AWS Greengrass";"AWS Greengrass seamlessly extends AWS onto physica";"Mike Ralphson";26-06-2017 18:31:20;06-12-2017 17:43:33
"Amazon GuardDuty";"Assess, monitor, manage, and remediate security is";"Mike Ralphson";30-11-2017 10:12:39;13-02-2018 09:26:21
"AWS Health APIs and Notifications";"<fullname>AWS Health</fullname> <p>The AWS Health ";"Mike Ralphson";02-05-2017 07:59:53;28-11-2017 16:03:46
"AWS Identity and Access Management";"<fullname>AWS Identity and Access Management</full";"Mike Ralphson";02-05-2017 07:59:53;28-11-2017 16:03:46
"AWS Import/Export";"<fullname>AWS Import/Export Service</fullname> AWS";"Mike Ralphson";02-05-2017 07:59:53;28-11-2017 16:03:46
"Amazon Inspector";"<fullname>Amazon Inspector</fullname> <p>Amazon In";"Mike Ralphson";02-05-2017 07:59:53;08-01-2018 11:01:53
"AWS IoT";"<fullname>AWS IoT</fullname> <p>AWS IoT provides s";"Mike Ralphson";02-05-2017 07:59:53;21-12-2017 19:16:47
"AWS IoT Data Plane";"<fullname>AWS IoT</fullname> <p>AWS IoT-Data enabl";"Mike Ralphson";02-05-2017 07:59:53;06-12-2017 17:43:33
"AWS IoT Jobs Data Plane";"<p>AWS IoT Jobs is a service that allows you to de";"Mike Ralphson";30-11-2017 10:12:39;06-12-2017 17:43:33
"Amazon Kinesis";"<fullname>Amazon Kinesis Data Streams Service API ";"Mike Ralphson";02-05-2017 07:59:53;06-02-2018 08:29:45
"Amazon Kinesis Video Streams Archived Media";"<p/>";"Mike Ralphson";30-11-2017 10:12:39;05-12-2017 13:11:36
"Amazon Kinesis Video Streams Media";"<p/>";"Mike Ralphson";30-11-2017 10:12:39;05-12-2017 13:11:36
"Amazon Kinesis Analytics";"";"Mike Ralphson";02-05-2017 07:59:53;22-12-2017 17:15:46
"Amazon Kinesis Video Streams";"<p/>";"Mike Ralphson";30-11-2017 10:12:39;30-11-2017 10:12:39
"AWS Key Management Service";"<fullname>AWS Key Management Service</fullname> <p";"Mike Ralphson";02-05-2017 07:59:53;13-02-2018 09:26:21
"AWS Lambda";"<fullname>AWS Lambda</fullname> <p> <b>Overview</b";"Mike Ralphson";02-05-2017 07:59:53;27-01-2018 11:53:44
"Amazon Lex Model Building Service";"<fullname>Amazon Lex Build-Time Actions</fullname>";"Mike Ralphson";02-05-2017 07:59:53;15-02-2018 09:33:19
"Amazon Lightsail";"<p>Amazon Lightsail is the easiest way to get star";"Mike Ralphson";02-05-2017 07:59:53;30-11-2017 10:12:39
"Amazon CloudWatch Logs";"<p>You can use Amazon CloudWatch Logs to monitor, ";"Mike Ralphson";04-12-2017 19:46:20;04-12-2017 19:46:20
"Amazon Machine Learning";"Definition of the public APIs exposed by Amazon Ma";"Mike Ralphson";02-05-2017 07:59:53;28-11-2017 16:03:46
"AWS Marketplace Commerce Analytics";"Provides AWS Marketplace business intelligence dat";"Mike Ralphson";02-05-2017 07:59:53;28-11-2017 16:03:46
"AWS Elemental MediaConvert";"AWS Elemental MediaConvert";"Mike Ralphson";28-11-2017 16:03:46;15-02-2018 21:53:56
"AWS Elemental MediaLive";"API for AWS Elemental MediaLive";"Mike Ralphson";28-11-2017 16:03:46;09-02-2018 12:41:49
"AWS Elemental MediaPackage";"AWS Elemental MediaPackage";"Mike Ralphson";28-11-2017 16:03:46;06-12-2017 17:43:33
"AWS Elemental MediaStore";"An AWS Elemental MediaStore container is a namespa";"Mike Ralphson";28-11-2017 16:03:46;09-02-2018 12:41:49
"AWS Elemental MediaStore Data Plane";"An AWS Elemental MediaStore asset is an object, si";"Mike Ralphson";28-11-2017 16:03:46;20-12-2017 09:37:08
"AWSMarketplace Metering";"<fullname>AWS Marketplace Metering Service</fullna";"Mike Ralphson";02-05-2017 07:59:53;05-12-2017 13:11:36
"AWS Mobile";" AWS Mobile Service provides mobile app and websit";"Mike Ralphson";04-09-2017 07:36:07;06-12-2017 17:43:33
"Amazon Mobile Analytics";"Amazon Mobile Analytics is a service for collectin";"Mike Ralphson";02-05-2017 07:59:53;28-11-2017 16:03:46
"Amazon CloudWatch";"<p>Amazon CloudWatch monitors your Amazon Web Serv";"Mike Ralphson";02-05-2017 07:59:53;20-12-2017 09:37:08
"AmazonMQ";"Amazon MQ is a managed message broker service for ";"Mike Ralphson";30-11-2017 10:12:39;06-12-2017 17:43:33
"Amazon Mechanical Turk";"<fullname>Amazon Mechanical Turk API Reference</fu";"Mike Ralphson";02-05-2017 07:59:53;27-01-2018 11:53:44
"AWS OpsWorks";"<fullname>AWS OpsWorks</fullname> <p>Welcome to th";"Mike Ralphson";02-05-2017 07:59:53;06-02-2018 08:29:45
"AWS OpsWorks for Chef Automate";"<fullname>AWS OpsWorks CM</fullname> <p> AWS OpsWo";"Mike Ralphson";02-05-2017 07:59:53;05-12-2017 13:11:36
"AWS Organizations";"<fullname>AWS Organizations API Reference</fullnam";"Mike Ralphson";02-05-2017 07:59:53;28-11-2017 16:03:46
"Amazon Pinpoint";"";"Mike Ralphson";02-05-2017 07:59:53;06-12-2017 17:43:33
"Amazon Polly";"<p>Amazon Polly is a web service that makes it eas";"Mike Ralphson";02-05-2017 07:59:53;06-12-2017 17:43:33
"AWS Price List Service";"<p>AWS Price List Service API (AWS Price List Serv";"Mike Ralphson";09-11-2017 16:48:43;05-12-2017 13:11:36
"Amazon Relational Database Service";"<fullname>Amazon Relational Database Service</full";"Mike Ralphson";02-05-2017 07:59:53;17-02-2018 15:32:24
"Amazon Redshift";"<fullname>Amazon Redshift</fullname> <p> <b>Overvi";"Mike Ralphson";02-05-2017 07:59:53;28-11-2017 16:03:46
"Amazon Rekognition";"This is the Amazon Rekognition API reference.";"Mike Ralphson";02-05-2017 07:59:53;30-11-2017 10:12:39
"AWS Resource Groups";"<fullname>AWS Resource Groups</fullname> <p>AWS Re";"Mike Ralphson";30-11-2017 10:12:39;06-12-2017 17:43:33
"AWS Resource Groups Tagging API";"<fullname>Resource Groups Tagging API</fullname> <";"Mike Ralphson";02-05-2017 07:59:53;05-12-2017 13:11:36
"Amazon Route 53";"";"Mike Ralphson";02-05-2017 07:59:53;27-02-2018 17:27:13
"Amazon Route 53 Domains";"Amazon Route 53 API actions let you register domai";"Mike Ralphson";02-05-2017 07:59:53;28-11-2017 16:03:46
"Amazon Lex Runtime Service";"Amazon Lex provides both build and runtime endpoin";"Mike Ralphson";02-05-2017 07:59:53;11-02-2018 09:48:36
"Amazon SageMaker Runtime";" Amazon SageMaker runtime API. ";"Mike Ralphson";30-11-2017 10:12:39;30-11-2017 10:12:39
"Amazon Simple Storage Service";"";"Mike Ralphson";02-05-2017 07:59:53;06-12-2017 17:43:33
"Amazon SageMaker Service";"Definition of the public APIs exposed by SageMaker";"Mike Ralphson";30-11-2017 10:12:39;18-01-2018 12:17:33
"Amazon SimpleDB";"Amazon SimpleDB is a web service providing the cor";"Mike Ralphson";02-05-2017 07:59:53;28-11-2017 16:03:46
"AWSServerlessApplicationRepository";"<p>The AWS Serverless Application Repository makes";"Mike Ralphson";01-12-2017 18:40:16;22-02-2018 11:12:03
